beta_0,beta_1,sigma,log_lik
-4.8035917,2.4801503,1.1410596,-7.0954029
-4.9959222,2.513574,1.1623556,-7.0207983
-4.0549862,1.964593,1.8080261,-6.6271357
-4.2776741,2.0758908,1.8587512,-6.7177821
-4.1025138,2.207326,1.9135101,-6.9351952
-4.444113,2.2092427,2.1674757,-7.2305101
-6.3091138,2.1702495,1.7633425,-9.0870259
-5.8467064,2.2303351,2.2919418,-8.0536424
-2.7838388,1.4785401,1.3363084,-6.0423786
0.08825588,0.75558796,0.5799618,-4.8028371
0.28441617,0.98379175,0.60479814,-4.7183341
-0.18178333,0.99680958,0.6566616,-3.3583623
0.041212793,0.98623832,0.89019405,-4.1391493
-1.2480836,1.3947111,0.85318283,-4.4579024
-0.28031761,1.0811882,0.61180613,-3.6759638
-0.20198409,1.0141285,0.61290909,-3.3284934
-0.23244297,1.0388607,0.64892295,-3.4652649
-1.0793415,1.2895579,0.62296842,-3.6257054
0.83586395,0.68018793,0.88677339,-4.148237
3.6308508,-0.19794092,0.99735407,-6.3183851
3.5626133,-0.17199052,0.94836024,-6.2887523
1.4400194,0.58179463,1.8347014,-6.4062036
-3.3032166,1.8926013,0.63262695,-5.3632375
-3.2690081,1.7880859,0.64222577,-5.1022098
-2.5980137,1.4849396,0.89071361,-5.1731407
-2.0147866,1.5003591,0.89741993,-4.2236888
-0.93184885,1.1720839,1.2505466,-4.9394815
-0.39536684,1.0839057,0.35448533,-4.5680357
-0.39536684,1.0839057,0.35448533,-4.5680357
-0.57837027,1.1296437,0.352475,-4.4955325
-0.45350888,0.9981689,0.32710835,-5.0222916
-0.45350888,0.9981689,0.32710835,-5.0222916
-0.38925717,1.0465558,0.33214863,-4.4410325
-1.1643024,1.4110071,1.2601235,-5.4291247
-0.12363137,1.0102017,1.238413,-4.9553671
-1.03342,1.1217956,0.68682728,-3.797173
-1.0001364,1.1549751,0.6157761,-3.3913449
-0.5525497,1.1949056,0.66214048,-4.1422518
-0.8609634,1.110518,0.68436883,-3.5061096
0.75215886,0.73324266,0.68431442,-3.7202583
0.60776343,0.68869707,0.96529695,-4.3948661
-0.26287719,1.0784437,0.85597965,-4.0707243
0.5129867,0.75413944,0.46033595,-3.8188712
-0.7742587,1.1709202,0.45224581,-3.4298931
-0.55544868,1.1139456,0.51973466,-3.2766814
0.043434375,0.92151937,0.79347102,-3.6989983
0.17980214,0.90992814,0.64947595,-3.4801197
0.94040881,0.79570534,0.56758995,-5.1697905
0.50509456,0.57940789,1.125284,-5.505134
0.55146896,0.60548622,1.1013989,-5.1887206
0.036591305,0.6045363,1.2249031,-6.4743214
1.3845175,0.63308357,1.937328,-6.6223636
0.88891539,0.48958406,1.961703,-6.801417
1.8858279,0.24693003,1.3539229,-5.8472455
2.5275687,0.013317436,1.2483177,-6.2569003
3.2991324,0.029200896,1.1976051,-5.7949157
3.2977225,-0.052404857,1.2811312,-5.957294
3.7072717,-0.45952426,1.3123495,-8.0417847
3.8797891,0.12548751,1.1632307,-7.4540637
3.4304446,0.036570499,1.1241876,-5.8704071
1.445512,0.59218171,1.3059094,-5.3639362
1.4137247,0.56905314,1.2732802,-5.2369141
-1.2479043,1.4211313,0.46352775,-6.2859641
2.4491695,0.48828226,2.038559,-7.2153324
-0.55097425,0.947286,0.54853434,-4.4814469
-2.2921434,1.4156141,0.87979023,-4.8870216
-1.7503631,1.5368863,0.69111838,-4.6134667
-1.1909201,1.0177145,1.8332418,-6.6831643
-0.76822153,1.2091694,1.0326455,-4.4704828
-2.0990684,1.4336373,1.3417985,-5.3566435
-10.762393,3.6472085,2.1325709,-9.3781819
-11.256435,4.1415422,5.4828904,-10.888201
-6.173522,2.5588809,1.4124943,-6.9423868
-4.2697451,2.2288195,1.4860708,-6.3337158
-5.5797686,2.4056335,1.1236434,-6.6078811
3.4943638,0.073890202,0.70290772,-7.2540617
3.7339558,-0.0061586417,0.73784583,-7.2067895
3.844971,0.066602663,0.72402661,-8.972824
2.8304498,0.10907929,0.83786259,-5.3928073
2.264883,0.18600225,0.87986018,-5.304028
2.8753067,0.32953901,1.701534,-6.7273075
5.8212064,-0.48459178,1.9016429,-7.7536118
-0.78432586,1.324747,0.96925787,-5.089574
-1.8926466,1.5784191,0.84583114,-4.6917478
-2.2153437,1.3716699,0.89251749,-5.0773066
0.95358005,0.81423178,0.79293634,-4.9332897
-0.63443482,1.2381875,0.55973822,-4.7556236
-0.82998443,1.2174842,0.58695324,-3.5256988
-2.1859857,1.3706649,1.4229054,-5.7847913
-2.5366243,1.2083138,1.4179268,-7.6653291
0.78968378,0.4486698,1.2111964,-6.0745635
2.0905362,0.63048786,1.5661521,-6.7937186
2.0338388,0.53156228,1.6888774,-6.4445253
